Rank,City,Country,Administrative area[1],Population,Latitude,Longitude
23,Algiers,Algeria,"2,947,461 (2008)
Wilaya",2594000,36.75,3.05
5,Luanda,Angola,"1,823,282 (2002)
Provincia",5506000,-8.9,13.25
40,Huambo,Angola,,1269000,-12.75,15.75
,Porto Novo,Benin,,267191,7,2.6
,Gaborone,Botswana,,421907,-24.65,25.9
20,Ouagadougou,Burkina Faso,"1,475,223 (2006)
Municipality",2741000,12.35,1.5
,Bujumbura,Burundi,,800000,-3.4,29.2
18,Douala,Cameroon,"1,514,978 (2001)
Wouri département",2943000,4.05,9.7
17,Yaoundé,Cameroon,"1,248,235 (2001)
Mfoundi département",3066000,3.85,11.5
,Bangui,Central African Republic,,734350,4.4,18.6
42,Ndjamena,Chad,,1260000,12.1,15
47,Kananga,Democratic Republic of the Congo,,1169000,-5.9,22.4
32,Mbuji-Mayi,Democratic Republic of the Congo,,2007000,6.15,23.6
55,Kisangani,Democratic Republic of the Congo,,1040000,0.5,25.5
31,Lubumbashi,Democratic Republic of the Congo,,2015000,-11.65,27.45
3,Kinshasa-Brazzaville,"Democratic Republic of the Congo
 Republic of the Congo","5,528,000 (1998) Province (Kinshasa)[5]
1,373,382 (2007) Capital District (Brazzaville)",13475000,-4.33,15.3
9,Alexandria,Egypt,"4,110,015 (2006)
Governorate",4778000,31.2,29.9
1,Cairo,Egypt,"7,786,640 (2006)
Governorate",18772000,30,31.25
15,Addis Ababa,Ethiopia,"2,738,248 (2007)
Astedader",3238000,9,38.75
,Libreville,Gabon,,703904,0.4,9.45
22,Kumasi,Ghana,"1,171,311 (2000)
District (Kumasi Metropolitan Area)",2599000,6.65,-1.6
27,Accra,Ghana,"1,659,136 (2000)
District (Accra Metropolitan Area)",2277000,5.55,-0.2
35,Conakry,Guinea,"1,092,936 (1996)
Région",1936000,9.5,-13.7
,Bissau,Guinea-Bissau,,395954,11.85,-15.55
8,Abidjan,Ivory Coast,"4,210,200 (2002)
Département",4860000,5.3,-4
10,Nairobi,Kenya,"3,138,295 (2009)
Nairobi administrative area",3915000,1.3,36.8
52,Mombasa,Kenya,,1104000,-4.05,39.55
41,Monrovia,Liberia,"1,010,970 (2008)
Municipality",1264000,6.3,-10.8
50,Tripoli,Libya,"1,126,000 (2006)
Mutsarfiyah",1126000,32.9,13.2
,Lilongwe,Malawi,,1077116,-14,33.8
24,Bamako,Mali,"1,215,335 (2005)
District",2515000,12.6,-8
49,Marrakech,Morocco,,1134000,31.6,-8
14,Casablanca,Morocco,"6,861,739(2016)
Région",3515000,33.5,-7.6
34,Rabat,Morocco,"627,932 (2004)
Préfecture",1967000,34.05,-6.84
46,Fès,Morocco,"977,946 (2004)
Préfecture",1172000,34.05,-5
44,Maputo,Mozambique,"1,099,102 (2007)
Province-level city",1187000,-25.95,32.6
53,Niamey,Niger,"2,100,000 (2013)
Province",1090000,13.5,2.1
2,Lagos,Nigeria,"13,400,000 (2007)[4]",13123000,6.46,3.38
16,Ibadan,Nigeria,"1,338,659 (2006)
5 local government areas of Ibadan proper",3160000,7.4,3.9
39,Benin City,Nigeria,,1496000,6.33,5.6
51,Onitsha,Nigeria,,1109000,6.15,6.8
26,Port Harcourt,Nigeria,"541,116 (2006)
Local government area",2343000,4.8,7.04
54,Kaduna,Nigeria,"760,084 (2006)
2 local government areas of Kaduna",1048000,10.5,7.4
25,Abuja,Nigeria,"1,405,201 (2006)
Federal Capital Territory",2440000,9.08,7.5
12,Kano,Nigeria,"2,153,225 (2006)
6 local government areas of Kano proper",3587000,12,8.5
43,Kigali,Rwanda,,1257000,-1.9,30.05
13,Dakar,Senegal,"2,452,656 (2005)
Région",3520000,14.7,-17.4
56,Freetown,Sierra Leone,"947,122 (2004)
Western Area province",1007000,8.5,-13.25
29,Mogadishu,Somalia,"2,855,800 (2011)",2138000,2.04,45.33
11,Cape Town,South Africa,"3,497,097 (2007)
Metropolitan municipality",3660000,-33.9,18.4
45,Port Elizabeth,South Africa,"1,050,930 (2007)
Metropolitan municipality (Nelson Mandela Bay)",1179000,-33.95,25.6
48,Vereeniging,South Africa,"800,819 (2007)
District municipality",1155000,-26.7,27.9
4,Greater Johannesburg,South Africa,"3,888,180 (2007)
2 adjoining Metropolitan municipalities",9399000,-26.2,28
30,Pretoria,South Africa,"2,345,908 (2007)
Metropolitan municipality",2059000,-25.75,28.2
19,Durban,South Africa,"3,468,086 (2007)
Metropolitan municipality",2901000,-29.9,31.05
,Juba,South Sudan,,492970,4.9,31.6
6,Khartoum-Omdurman,Sudan,"2,919,773 (1993)
3 principal cities of the Khartoum agglomeration",5129000,15.5,32.5
7,Dar es Salaam,Tanzania,"4,364,541 (2012)
Mkoa",5116000,-6.8,39.3
,Lome,Togo,,1570283,6.1,1.2
33,Tunis,Tunisia,"911,643 (2005)
Municipality",1993000,36.8,10.18
36,Kampala,Uganda,"1,337,900 (2005)
District",1936000,0.3,32.5
28,Lusaka,Zambia,1742979,2179000,-15.4,28.3
38,Harare,Zimbabwe,"1,903,510 (2002)
Province",1501000,-17.9,31
,East London,South Africa,,755200,-33,27.9
,Mwanza,Tanzania,,706543,3,32.9
