Name,Country,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population MetropolitanArea,Population MetroPower,Rolling population total,GDP per capita of Province,Distance from a foreign country (KM),Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Longitude,Latitude
Paris,France,,,,,11800000,,,,,,,,,,48.9,2.25
London,United Kingdom,,,,,12200000,,,,,,,,,,51.5,0
Ruhr,Germany,,,,,11300000,,,,,,,,,,51.5,7.4
Madrid,Spain,,,,,6600000,,,,,,,,,,40.33333,-3.85
Berlin,Germany,,,,,6563194,,,,,,,,,,52.5,13.3333
Barcelona,Spain,,,,,5355000,,,,,,,,,,41.25,2.1
Milano,Italy,,,,,5257000,,,,,,,,,,45.4,9.2
Roma,Italy,,,,,3906000,,,,,,,,,,41.9,12.5
Napoli,Italy,,,,,3706000,,,,,,,,,,40.85,14.25
Athens,Greece,,,,,3484000,,,,,,,,,,37.9,23.6
Lisbon,Portugal,,,,,2666000,,,,,,,,,,38.8,-9.1
Rotterdam-The Hague,Netherlands,,,,,2660000,,,,,,,,,,52.1,4.4
Manchester,United Kingdom,,,,,2639000,,,,,,,,,,53.5,-2.25
Birmingham,United Kingdom,,,,,2512000,,,,,,,,,,52.5,-1.9
Katowice,Poland,,,,,2190000,,,,,,,,,,50.3,19
Köln-Bonn,Germany,,,,,2104000,,,,,,,,,,50.9,6.95
Brussels,Belgium,,,,,2089000,,,,,,,,,,50.8,4.4
Hamburg,Germany,,,,,2087000,,,,,,,,,,53.5,10.05
München,Germany,,,,,1981000,,,,,,,,,,48,11.5
Frankfurt,Germany,,,,,1915000,,,,,,,,,,50.1,8.7
Leeds,United Kingdom,,,,,1893000,,,,,,,,,,53.8,-1.6
Bucharest,Romania,,,,,1860000,,,,,,,,,,44.5,26.1
Wien,Austria,,,,,1763000,,,,,,,,,,48.2,16.45
Warsaw,Poland,,,,,1720000,,,,,,,,,,52.2,21.1
Budapest,Hungary,,,,,1710000,,,,,,,,,,47.45,19
Stockholm,Sweden,,,,,1630000,,,,,,,,,,59.2,18
Amsterdam,Netherlands,,,,,1624000,,,,,,,,,,52.3333,4.9
Lyon,France,,,,,1583000,,,,,,,,,,45.75,4.9
Valencia,Spain,,,,,1561000,,,,,,,,,,39.5,-0.3333
Sevilla,Spain,,,,,1533230,,,,,,,,,,37.4,6.1
Torino,Italy,,,,,1521000,,,,,,,,,,45.1,7.6
Porto,Portugal,,,,,1474000,,,,,,,,,,41.16,-8.6
Marseilles,France,,,,,1397000,,,,,,,,,,43.3,5.4
Stuttgart,Germany,,,,,1379000,,,,,,,,,,48.7,9.2
Sofia,Bulgaria,,,,,1316557,,,,,,,,,,42.7,23.3
Prague,Czech Republic,,,,,1310000,,,,,,,,,,50.1,14.45
Copenhagen,Denmark,,,,,1231000,,,,,,,,,,55.75,12.45
Helsinki,Finland,,,,,1203000,,,,,,,,,,60.25,25.1
Glasgow,United Kingdom,,,,,1182000,,,,,,,,,,55.85,-4.3333
Dublin,Ireland,,,,,1158000,,,,,,,,,,53.3333,6.33333
Lille,France,,,,,1016000,,,,,,,,,,50.6,3.05
Antwerpen,Belgium,,,,,990000,,,,,,,,,,51.25,4.4
Nice,France,,,,,962000,,,,,,,,,,43.75,7.25
Malaga,Spain,,,,,953251,,,,,,,,,,36.7,-4.4
Lodz,Poland,,,,,939000,,,,,,,,,,51.75,19.4
Toulouse,France,,,,,880000,,,,,,,,,,43.6,1.4
Liverpool,United Kingdom,,,,,864000,,,,,,,,,,53.4,-3
South Hampshire,United Kingdom,,,,,856000,,,,,,,,,,50.8,-1.2
Genova,Italy,,,,,855000,,,,,,,,,,44.4,8.95
Bordeaux,France,,,,,845000,,,,,,,,,,44.85,-0.5
Thessaloniki,Greece,,,,,840000,,,,,,,,,,40.666,22.92
Florence,Italy,,,,,821000,,,,,,,,,,43.8,11.25
Zagreb,Croatia,,,,,793000,,,,,,,,,,45.8,15.9
Newcastle upon Tyne,United Kingdom,,,,,780000,,,,,,,,,,55,-1.5
Gdansk,Poland,,,,,775000,,,,,,,,,,54.4,18.6
Krakow,Poland,,,,,760000,,,,,,,,,,50.1,19.9
Bilbao,Spain,,,,,750000,,,,,,,,,,43.25,-3
Riga,Latvia,,,,,750000,,,,,,,,,,57,24.1
Palermo,Italy,,,,,731000,,,,,,,,,,38.1,13.25
Nottingham,United Kingdom,,,,,730000,,,,,,,,,,52.95,-1.25
